category,spec_key_hash,count,min,p25,median,mean,p75,max
06_mens_clothing,9a5439b5883ce9e9,4,16000,16000,16000,16000,16000,16000
06_mens_clothing,96c6fe35eff87c5f,4,4000,12925,15900,16450,19425,30000
06_mens_clothing,9ff4bb46232dfb2d,3,10000,10000,10000,10633,10950,11900
06_mens_clothing,20e04f8f0c7f178b,3,50000,80000,110000,91666,112500,115000
06_mens_clothing,385ed70107404da2,3,40000,45000,50000,46666,50000,50000
06_mens_clothing,5b273ea8f8789eae,3,25000,27500,30000,28333,30000,30000
06_mens_clothing,b740ceea206dd831,2,25000,25000,25000,25000,25000,25000
06_mens_clothing,7d8d970e6f89c831,2,20000,26250,32500,32500,38750,45000
06_mens_clothing,2a214a4e1072d638,2,19000,19000,19000,19000,19000,19000
06_mens_clothing,024c1d97c01770f3,2,15000,33750,52500,52500,71250,90000
06_mens_clothing,2cc7157cde086772,2,47000,47750,48500,48500,49250,50000
06_mens_clothing,b077fec51911fa01,2,30000,34750,39500,39500,44250,49000
06_mens_clothing,befa09c0716e08e1,2,68000,68000,68000,68000,68000,68000
06_mens_clothing,77b54bc37e06508e,2,28000,168500,309000,309000,449500,590000
06_mens_clothing,291631e6da5bc204,2,60000,60000,60000,60000,60000,60000
06_mens_clothing,e8ddc23f1f257498,2,20000,20000,20000,20000,20000,20000
06_mens_clothing,a26756c18d4808de,2,1500,4850,8200,8200,11550,14900
06_mens_clothing,a850163937c1bf1e,2,18900,18925,18950,18950,18975,19000
06_mens_clothing,8a34b8b07d609697,2,70000,70000,70000,70000,70000,70000
06_mens_clothing,e44d4526f9349ce8,2,40000,40000,40000,40000,40000,40000
